title,description,link,image
Warriors Matchmaker,"A reusable matchmaking template that allows the reader to answer questions to hone in on a pick. In this case, it was used to guide Warriors fans to their preferred draft pick.",https://www.sfchronicle.com/projects/2020/draft-matchmaker/,matchmaker.jpg
2020 Election Results Pages,"Live updating maps and graphics, powered by the AP Election Results feed, for the 2020 election with pages produced for Hearst newsrooms across the country.",https://www.sfchronicle.com/projects/2020/california-election-results/,election.gif
Hearst Devhub Click-2-Publish,"A new publishing system created for SF Chronicle and expanded to all Hearst Newsrooms. Allows for the quick creation of project templates using specially formatted Google Sheets.",https://twitter.com/evanwagstaff/status/1075556887515475968,fireimg.jpg
Simple News Assembly Platform: A CMS built for the newsroom,A custom Backbone.js CMS for use in the Los Angeles Times newsroom and other tronc markets.,http://www.niemanlab.org/2016/08/the-los-angeles-times-built-its-own-journalist-friendly-story-editor-and-its-now-rolling-out-to-all-of-tronc/,thumb_snap.gif
Shooters in San Bernardino massacre seemed to be living the 'American Dream',The main online story for the Times' breaking news coverage of the San Bernardino terror attack.,http://graphics.latimes.com/san-bernardino-shooting/,thumb_san_bernardino.jpg
This is America's state of mind on election day,More than 75 reporters conducted interviews for this collaborative isotope.js project where we asked how the election made people feel.,http://www.latimes.com/projects/la-na-pol-election-feelings/,thumb_election.gif
These are the 749 inmates awaiting execution on California's death row,"An isotope.js project that allows readers to explore the state's condemned inmates and filter by time served, number of victims, and more.",http://www.latimes.com/projects/la-me-death-row/,thumb_death_row.jpg
A Sting in the Desert,"In this six-part series, a government-run sting to catch artifact traders upends a Utah town.",http://graphics.latimes.com/utah-sting/,thumb_sting.gif
You want a description of hell?': Oxycontin's 12-hour problem,This three-part investigation focuses on the drug known as Oxycontin and what the drug maker knew about its addictive cycle.,http://www.latimes.com/projects/oxycontin-part1/,thumb_oxy.jpg
Belongings,A photo-driven project that profiles the homeless of Los Angeles and their most cherished possessions.,http://graphics.latimes.com/homeless-possessions/,thumb_belongings.jpg
Fleeing Syria: A desperate migration,A series chronicling the one of the largest waves of human migration since World War II.,http://graphics.latimes.com/syria-to-greece/,thumb_syria.jpg
Video: Reporters recall violence in Tiananmen Square,Four former Los Angeles Times reporters recall the protests that led to a night of violence in Beijing. ,http://www.latimes.com/world/asia/80401017-132.html,thumb_beijing.jpg
